trip_id,start_time,end_time,headway_secs,exact_times
BCN- VLC,10:45:00,16:45:00,7200,0
BCN- VLC,16:45:00,20:45:00,3600,0
BCN- VLC,06:45:00,10:45:00,3600,0
Castelló - VilaReal,05:30:00,23:00:00,1800,0
Castelló - VilaReal (Finde),07:00:00,00:00:00,2700,0
GRAO - UJI,05:30:00,00:00:00,600,0
GRAO - UJI (Finde),06:00:00,03:00:00,600,0
UJI - GRAO,05:30:00,00:00:00,600,0
UJI - GRAO (Finde),06:00:00,03:00:00,600,0
VLC - BCN,06:30:00,10:30:00,3600,0
VLC - BCN,16:30:00,20:30:00,3600,0
VLC - BCN,10:30:00,16:30:00,7200,0
Vila Real - Castelló (Finde),07:00:00,00:00:00,2700,0
VilaReal - Castelló,05:30:00,23:00:00,1800,0
