trip_id,start_time,end_time,headway_secs,exact_times
BCN- VLC,10:45:00,16:45:00,7200,1
BCN- VLC,16:45:00,20:45:00,3600,1
BCN- VLC,06:45:00,10:45:00,3600,1
CS - VLC,05:30:00,23:00:00,3600,1
CS - VLC (Finde),07:00:00,14:00:00,3600,1
CS - VLC (Finde),14:00:00,16:00:00,2700,1
CS - VLC (Finde),16:00:00,21:00:00,1800,1
CS - VLC (Finde),21:00:00,00:00:00,3600,1
VLC - BCN,10:30:00,16:30:00,7200,1
VLC - BCN,06:30:00,10:30:00,3600,1
VLC - BCN,16:30:00,20:30:00,3600,1
VLC - CS,05:30:00,23:00:00,3600,1
VLC - CS (Finde),07:00:00,14:00:00,3600,1
VLC - CS (Finde),14:00:00,16:00:00,2700,1
VLC - CS (Finde),16:00:00,21:00:00,1800,1
VLC - CS (Finde),21:00:00,00:00:00,1800,1
