trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
BCN- VLC,71801,1,06:45:00,06:50:00,,,,,,
BCN- VLC,71500,2,07:22:13,07:27:13,,,,,,
BCN- VLC,65300,3,08:23:32,08:28:32,,,,,,
BCN- VLC,1000,4,08:50:26,08:55:26,,,,,,
CS - VLC,65300,1,05:30:00,05:33:00,,,,,,
CS - VLC,65209,2,05:35:10,05:36:10,,,,,,
CS - VLC,65208,3,05:37:38,05:38:38,,,,,,
CS - VLC,65207,4,05:40:44,05:41:44,,,,,,
CS - VLC,65206,5,05:44:54,05:45:54,,,,,,
CS - VLC,65202,6,05:52:26,05:53:26,,,,,,
CS - VLC,65200,7,05:58:05,05:59:05,,,,,,
CS - VLC,65008,8,06:02:27,06:03:27,,,,,,
CS - VLC,65007,9,06:05:17,06:06:17,,,,,,
CS - VLC,65006,10,06:08:06,06:09:06,,,,,,
CS - VLC,65005,11,06:09:47,06:10:47,,,,,,
CS - VLC,65003,12,06:14:54,06:15:54,,,,,,
CS - VLC,65002,13,06:18:57,06:19:57,,,,,,
CS - VLC,65000,14,06:21:44,06:22:44,,,,,,
CS - VLC (Finde),65300,1,08:00:00,08:01:00,,,,,,
CS - VLC (Finde),65209,2,08:03:10,08:04:10,,,,,,
CS - VLC (Finde),65208,3,08:05:38,08:06:38,,,,,,
CS - VLC (Finde),65207,4,08:08:44,08:09:44,,,,,,
CS - VLC (Finde),65206,5,08:12:54,08:13:54,,,,,,
CS - VLC (Finde),65205,6,08:15:44,08:16:44,,,,,,
CS - VLC (Finde),65203,7,08:20:10,08:21:10,,,,,,
CS - VLC (Finde),65202,8,08:22:24,08:23:24,,,,,,
CS - VLC (Finde),65201,9,08:25:16,08:26:16,,,,,,
CS - VLC (Finde),65200,10,08:29:02,08:30:02,,,,,,
CS - VLC (Finde),65008,11,08:33:24,08:34:24,,,,,,
CS - VLC (Finde),65006,12,08:38:04,08:39:04,,,,,,
CS - VLC (Finde),65005,13,08:39:45,08:40:45,,,,,,
CS - VLC (Finde),65001,14,08:41:43,08:42:43,,,,,,
CS - VLC (Finde),65003,15,08:45:51,08:46:51,,,,,,
CS - VLC (Finde),65002,16,08:49:54,08:50:54,,,,,,
CS - VLC (Finde),65000,17,08:52:41,08:53:41,,,,,,
VLC - BCN,1000,1,06:30:00,06:40:00,,,,,,
VLC - BCN,65300,2,07:00:51,07:05:51,,,,,,
VLC - BCN,71500,3,07:59:29,08:04:29,,,,,,
VLC - BCN,71801,4,08:35:10,08:40:10,,,,,,
VLC - CS,65000,1,05:30:00,05:31:00,,,,,,
VLC - CS,65002,2,05:32:47,05:33:47,,,,,,
VLC - CS,65003,3,05:36:50,05:37:50,,,,,,
VLC - CS,65001,4,05:40:58,05:41:58,,,,,,
VLC - CS,65005,5,05:42:56,05:43:56,,,,,,
VLC - CS,65006,6,05:44:37,05:45:37,,,,,,
VLC - CS,65007,7,05:47:26,05:48:26,,,,,,
VLC - CS,65008,8,05:50:16,05:51:16,,,,,,
VLC - CS,65200,9,05:54:38,05:55:38,,,,,,
VLC - CS,65201,10,05:58:24,05:59:24,,,,,,
VLC - CS,65202,11,06:01:16,06:02:16,,,,,,
VLC - CS,65203,12,06:03:30,06:04:30,,,,,,
VLC - CS,65204,13,06:05:29,06:06:29,,,,,,
VLC - CS,65205,14,06:08:56,06:09:56,,,,,,
VLC - CS,65206,15,06:11:46,06:12:46,,,,,,
VLC - CS,65207,16,06:15:56,06:16:56,,,,,,
VLC - CS,65208,17,06:19:02,06:20:02,,,,,,
VLC - CS,65209,18,06:21:30,06:22:30,,,,,,
VLC - CS,65300,19,06:24:40,06:25:40,,,,,,
VLC - CS (Finde),65000,1,08:00:00,08:02:00,,,,,,
VLC - CS (Finde),65002,2,08:03:47,08:04:47,,,,,,
VLC - CS (Finde),65003,3,08:07:50,08:08:50,,,,,,
VLC - CS (Finde),65001,4,08:11:58,08:12:58,,,,,,
VLC - CS (Finde),65005,5,08:13:56,08:14:56,,,,,,
VLC - CS (Finde),65006,6,08:15:37,08:16:37,,,,,,
VLC - CS (Finde),65007,7,08:18:26,08:19:26,,,,,,
VLC - CS (Finde),65008,8,08:21:16,08:22:16,,,,,,
VLC - CS (Finde),65200,9,08:25:38,08:26:38,,,,,,
VLC - CS (Finde),65201,10,08:29:24,08:30:24,,,,,,
VLC - CS (Finde),65202,11,08:32:16,08:33:16,,,,,,
VLC - CS (Finde),65203,12,08:34:30,08:35:30,,,,,,
VLC - CS (Finde),65204,13,08:36:29,08:37:29,,,,,,
VLC - CS (Finde),65205,14,08:39:56,08:40:56,,,,,,
VLC - CS (Finde),65206,15,08:42:46,08:43:46,,,,,,
VLC - CS (Finde),65207,16,08:46:56,08:47:56,,,,,,
VLC - CS (Finde),65208,17,08:50:02,08:51:02,,,,,,
VLC - CS (Finde),65209,18,08:52:30,08:53:30,,,,,,
VLC - CS (Finde),65300,19,08:55:40,08:56:40,,,,,,
