trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
Castelló - VilaReal,08,1,05:00:00,05:00:00,,,,,,
Castelló - VilaReal,07,2,05:00:38,05:00:38,,,,,,
Castelló - VilaReal,06,3,05:01:27,05:01:27,,,,,,
Castelló - VilaReal,05,4,05:01:45,05:01:45,,,,,,
Castelló - VilaReal,04,5,05:02:24,05:02:24,,,,,,
Castelló - VilaReal,03,6,05:03:01,05:03:01,,,,,,
Castelló - VilaReal,02,7,05:06:37,05:06:37,,,,,,
Castelló - VilaReal,01,8,05:11:08,05:11:08,,,,,,
VilaReal - Castelló,01,1,05:00:00,05:00:00,,,,,,
VilaReal - Castelló,02,2,05:04:31,05:04:31,,,,,,
VilaReal - Castelló,03,3,05:08:07,05:08:07,,,,,,
VilaReal - Castelló,04,4,05:08:44,05:08:44,,,,,,
VilaReal - Castelló,05,5,05:09:23,05:09:23,,,,,,
VilaReal - Castelló,06,6,05:09:41,05:09:41,,,,,,
VilaReal - Castelló,07,7,05:10:30,05:10:30,,,,,,
VilaReal - Castelló,08,8,05:11:08,05:11:08,,,,,,
