trip_id,route_id,shape_id,service_id,trip_headsign,direction_id,trip_short_name,block_id,wheelchair_accessible,bikes_allowed
BCN- VLC,2000,1002,01,Euromed - Joaquín Sorolla,,,,,
CS - VLC,5000,5001,01,C6 - Valencia Nord,,,,,
CS - VLC (Finde),5000,5001,02,C6 - Valencia Nord,,,,,
Castelló - VilaReal,2,1,01,L2 - Vila-Real,,,,1,
Castelló - VilaReal (Finde),2,1,02,L2 - Vila Real (F),,L2,,1,
GRAO - UJI,1,4,01,L1 UJI,,L1,,,
GRAO - UJI (Finde),1,4,02,L1 UJI (F),,L1,,,
UJI - GRAO,1,3,01,L1 GRAO,,L1,,,
UJI - GRAO (Finde),1,3,02,L1 GRAO (F),,L1,,,
VLC - BCN,2000,1001,01,Euromed - Sants,,,,,
VLC - CS,5001,5000,01,C6 -Castelló,,,,,
VLC - CS (Finde),5001,5000,02,C6 - Castelló,,,,,
Vila Real - Castelló (Finde),2,2,02,L2 - Vila Real (F),,L2,,1,
VilaReal - Castelló,2,2,01,L2 - Castelló,,,,1,
